text_per_tr	words_per_tr	onsets_per_tr	durations_per_tr
it? You might 	['it?', 'You', 'might']	[771.812, 772.628, 772.964]	[0.634, 0.31, 0.19]
try accidentally breaking 	['try', 'accidentally', 'breaking']	[773.192, 773.56, 774.382]	[0.298, 0.774, 0.384]
something valuable of hers. 	['something', 'valuable', 'of', 'hers.']	[774.798, 775.032, 775.422, 775.608]	[0.196, 0.342, 0.164, 0.518]
Say her leg. 	['Say', 'her', 'leg.']	[776.238, 776.616, 777.0]	[0.324, 0.314, 0.62]
	[]	[]	[]
	[]	[]	[]
Me, I went for the 	['Me,', 'I', 'went', 'for', 'the']	[780.39, 781.048, 781.288, 781.464, 781.628]	[0.556, 0.218, 0.15, 0.142, 0.138]
watch. You actually broke her 	['watch.', 'You', 'actually', 'broke', 'her']	[781.788, 782.524, 782.892, 783.196, 783.538]	[0.57, 0.33, 0.25, 0.31, 0.196]
watch? Wow. 	['watch?', 'Wow.']	[783.772, 784.588]	[0.634, 0.634]
The worst thing that I ever did 	['The', 'worst', 'thing', 'that', 'I', 'ever', 'did']	[785.356, 785.628, 785.794, 785.948, 786.044, 786.188, 786.348]	[0.25, 0.15, 0.132, 0.09, 0.122, 0.138, 0.186]
was I shredded my 	['was', 'I', 'shredded', 'my']	[786.572, 787.324, 787.628, 788.098]	[0.586, 0.282, 0.438, 0.1]
old boyfriend's favorite bath 	"['old', ""boyfriend's"", 'favorite', 'bath']"	[788.204, 788.348, 788.962, 789.298]	[0.122, 0.566, 0.304, 0.208]
towel. OOH. Steer 	['towel.', 'OOH.', 'Steer']	[789.538, 790.05, 790.674]	[0.432, 0.528, 0.352]
clear of you. 	['clear', 'of', 'you.']	[791.058, 791.292, 791.532]	[0.196, 0.202, 0.588]
	[]	[]	[]
Barry, I'm 	"['Barry,', ""I'm""]"	[793.93, 794.69]	[0.68, 0.384]
sorry. I'm so sorry. 	"['sorry.', ""I'm"", 'so', 'sorry.']"	[795.122, 795.82, 796.322, 796.636]	[0.548, 0.454, 0.26, 0.458]
I know you probably think this is 	['I', 'know', 'you', 'probably', 'think', 'this', 'is']	[797.212, 797.468, 797.628, 797.788, 798.092, 798.352, 798.528]	[0.234, 0.138, 0.138, 0.246, 0.222, 0.154, 0.09]
all about what I said the other night about 	['all', 'about', 'what', 'I', 'said', 'the', 'other', 'night', 'about']	[798.624, 798.768, 798.928, 799.088, 799.248, 799.408, 799.504, 799.712, 799.888]	[0.122, 0.138, 0.138, 0.138, 0.138, 0.09, 0.17, 0.154, 0.186]
you making love with your socks on, 	['you', 'making', 'love', 'with', 'your', 'socks', 'on,']	[800.112, 800.288, 800.512, 800.688, 800.848, 801.008, 801.318]	[0.154, 0.186, 0.154, 0.138, 0.138, 0.278, 0.196]
but it isn't. It isn't. It's 	"['but', 'it', ""isn't."", 'It', ""isn't."", ""It's""]"	[801.552, 801.728, 801.888, 802.31, 802.528, 802.758]	[0.154, 0.138, 0.342, 0.196, 0.198, 0.208]
about me. And I 	['about', 'me.', 'And', 'I']	[802.998, 803.296, 803.808, 804.048]	[0.244, 0.41, 0.218, 0.138]
didn't. 	"[""didn't.""]"	[804.208]	[0.602]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
Hi. Machine cut me off 	['Hi.', 'Machine', 'cut', 'me', 'off']	[812.13, 812.66, 813.082, 813.268, 813.364]	[0.46, 0.374, 0.164, 0.09, 0.17]
again. Anyway, 	['again.', 'Anyway,']	[813.572, 813.94]	[0.298, 0.62]
	[]	[]	[]
look, 	['look,']	[817.17]	[0.75]
	[]	[]	[]
I know that some 	['I', 'know', 'that', 'some']	[819.91, 820.312, 820.488, 820.712]	[0.364, 0.154, 0.186, 0.202]
girl is going to be 	['girl', 'is', 'going', 'to', 'be']	[820.952, 821.192, 821.368, 821.528, 821.624]	[0.202, 0.154, 0.138, 0.09, 0.266]
incredibly lucky to become Mrs. 	['incredibly', 'lucky', 'to', 'become', 'Mrs.']	[821.96, 822.558, 822.958, 823.128, 823.416]	[0.566, 0.368, 0.148, 0.234, 0.31]
Barry Finkel, but 	['Barry', 'Finkel,', 'but']	[823.758, 824.222, 825.166]	[0.416, 0.8, 0.26]
it isn't me. 	"['it', ""isn't"", 'me.']"	[825.448, 825.608, 825.966]	[0.138, 0.294, 0.564]
It's not me. 	"[""It's"", 'not', 'me.']"	[826.68, 827.182, 827.624]	[0.454, 0.356, 0.682]
And not that I have any 	['And', 'not', 'that', 'I', 'have', 'any']	[828.488, 829.0, 829.208, 829.368, 829.464, 829.608]	[0.442, 0.186, 0.138, 0.09, 0.122, 0.138]
idea who me is right now, but 	['idea', 'who', 'me', 'is', 'right', 'now,', 'but']	[829.768, 829.992, 830.184, 830.412, 830.588, 830.812, 831.052]	[0.186, 0.166, 0.19, 0.154, 0.186, 0.202, 0.25]
you just have to give me a chance 	['you', 'just', 'have', 'to', 'give', 'me', 'a', 'chance']	[831.356, 831.612, 831.788, 831.884, 832.028, 832.188, 832.348, 832.508]	[0.218, 0.154, 0.09, 0.122, 0.138, 0.138, 0.138, 0.234]
to 	['to']	[832.796]	[0.604]
	[]	[]	[]
I'm divorced. 	"[""I'm"", 'divorced.']"	[835.93, 836.418]	[0.456, 0.772]
I'm only 	"[""I'm"", 'only']"	[837.69, 838.098]	[0.376, 0.196]
26 and I'm divorced. 	"['26', 'and', ""I'm"", 'divorced.']"	[838.332, 838.956, 839.148, 839.378]	[0.57, 0.17, 0.198, 0.736]
Shut up. 	['Shut', 'up.']	[840.242, 840.722]	[0.432, 0.596]
Must stop. 	['Must', 'stop.']	[841.484, 842.172]	[0.57, 0.668]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
Shut 	['Shut']	[847.69]	[2.552]
up. Got 	['up.', 'Got']	[850.306, 851.85]	[0.614, 0.316]
to understand, between us, 	['to', 'understand,', 'between', 'us,']	[852.188, 852.348, 852.828, 853.324]	[0.138, 0.378, 0.41, 0.298]
we haven't had a relationship that 	"['we', ""haven't"", 'had', 'a', 'relationship', 'that']"	[853.676, 853.868, 854.034, 854.188, 854.284, 854.748]	[0.17, 0.15, 0.132, 0.09, 0.362, 0.338]
lasted longer than a 	['lasted', 'longer', 'than', 'a']	[855.148, 855.498, 855.732, 855.908]	[0.318, 0.196, 0.154, 0.138]
mento. 	['mento.']	[856.068]	[0.842]
	[]	[]	[]
You, however, 	['You,', 'however,']	[859.89, 860.484]	[0.508, 0.49]
have had the love of a woman for 	['have', 'had', 'the', 'love', 'of', 'a', 'woman', 'for']	[861.092, 861.348, 861.508, 861.668, 861.892, 862.004, 862.084, 862.442]	[0.234, 0.138, 0.138, 0.186, 0.106, 0.074, 0.31, 0.212]
four years. Four 	['four', 'years.', 'Four']	[862.692, 862.996, 863.636]	[0.25, 0.506, 0.442]
years of 	['years', 'of']	[864.164, 864.772]	[0.49, 0.33]
closeness and sharing, at 	['closeness', 'and', 'sharing,', 'at']	[865.156, 865.786, 866.052, 866.89]	[0.566, 0.228, 0.678, 0.276]
the end of which she ripped 	['the', 'end', 'of', 'which', 'she', 'ripped']	[867.188, 867.284, 867.428, 867.588, 867.876, 868.196]	[0.09, 0.122, 0.138, 0.234, 0.266, 0.31]
your heart out. And that is why we 	['your', 'heart', 'out.', 'And', 'that', 'is', 'why', 'we']	[868.538, 868.708, 868.932, 869.172, 869.284, 869.428, 869.588, 869.812]	[0.148, 0.186, 0.202, 0.106, 0.122, 0.138, 0.186, 0.202]
don't do it. 	"[""don't"", 'do', 'it.']"	[870.052, 870.362, 870.612]	[0.262, 0.212, 0.588]
	[]	[]	[]
I don't think that was my 	"['I', ""don't"", 'think', 'that', 'was', 'my']"	[872.85, 873.188, 873.418, 873.588, 873.748, 873.908]	[0.316, 0.198, 0.148, 0.138, 0.138, 0.186]
point. 	['point.']	[874.132]	[0.588]
	[]	[]	[]
	[]	[]	[]
	[]	[]	[]
